SubmitTime,WorkTimeInSeconds,Answer.first_choice_process_SUS_question_value_1.1,Answer.first_choice_process_SUS_question_value_2.2,Answer.first_choice_process_SUS_question_value_3.3,Answer.first_choice_process_SUS_question_value_4.4,Answer.first_choice_process_SUS_question_value_5.5,Answer.first_satisfaction_SUS_proposition_value_1.1,Answer.first_satisfaction_SUS_proposition_value_2.2,Answer.first_satisfaction_SUS_proposition_value_3.3,Answer.first_satisfaction_SUS_proposition_value_4.4,Answer.first_satisfaction_SUS_proposition_value_5.5,Answer.first_system_review_SUS_question_value_1.1,Answer.first_system_review_SUS_question_value_2.2,Answer.first_system_review_SUS_question_value_3.3,Answer.first_system_review_SUS_question_value_4.4,Answer.first_system_review_SUS_question_value_5.5,Answer.fourth_system_review_SUS_question_value_1.1,Answer.fourth_system_review_SUS_question_value_2.2,Answer.fourth_system_review_SUS_question_value_3.3,Answer.fourth_system_review_SUS_question_value_4.4,Answer.fourth_system_review_SUS_question_value_5.5,Answer.second_choice_process_SUS_question_value_1.1,Answer.second_choice_process_SUS_question_value_2.2,Answer.second_choice_process_SUS_question_value_3.3,Answer.second_choice_process_SUS_question_value_4.4,Answer.second_choice_process_SUS_question_value_5.5,Answer.second_satisfaction_SUS_proposition_value_1.1,Answer.second_satisfaction_SUS_proposition_value_2.2,Answer.second_satisfaction_SUS_proposition_value_3.3,Answer.second_satisfaction_SUS_proposition_value_4.4,Answer.second_satisfaction_SUS_proposition_value_5.5,Answer.second_system_review_SUS_question_value_1.1,Answer.second_system_review_SUS_question_value_2.2,Answer.second_system_review_SUS_question_value_3.3,Answer.second_system_review_SUS_question_value_4.4,Answer.second_system_review_SUS_question_value_5.5,Answer.third_choice_process_SUS_question_value_1.1,Answer.third_choice_process_SUS_question_value_2.2,Answer.third_choice_process_SUS_question_value_3.3,Answer.third_choice_process_SUS_question_value_4.4,Answer.third_choice_process_SUS_question_value_5.5,Answer.third_satisfaction_SUS_proposition_value_1.1,Answer.third_satisfaction_SUS_proposition_value_2.2,Answer.third_satisfaction_SUS_proposition_value_3.3,Answer.third_satisfaction_SUS_proposition_value_4.4,Answer.third_satisfaction_SUS_proposition_value_5.5,Answer.third_system_review_SUS_question_value_1.1,Answer.third_system_review_SUS_question_value_2.2,Answer.third_system_review_SUS_question_value_3.3,Answer.third_system_review_SUS_question_value_4.4,Answer.third_system_review_SUS_question_value_5.5
Mon Jun 27 13:23:02 PDT 2022,292,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false
Mon Jun 27 04:20:28 PDT 2022,1926,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false
Mon Jun 27 04:03:47 PDT 2022,1114,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false
Mon Jun 27 05:51:42 PDT 2022,1299,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false
Mon Jun 27 03:58:02 PDT 2022,590,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false
Mon Jun 27 05:17:14 PDT 2022,483,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true
Mon Jun 27 04:06:04 PDT 2022,1072,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false
Mon Jun 27 05:45:19 PDT 2022,271,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true
Mon Jun 27 03:03:42 PDT 2022,936,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true
Mon Jun 27 15:34:54 PDT 2022,1392,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false
