SubmitTime,WorkTimeInSeconds,Answer.first_choice_process_SUS_question_value_1.1,Answer.first_choice_process_SUS_question_value_2.2,Answer.first_choice_process_SUS_question_value_3.3,Answer.first_choice_process_SUS_question_value_4.4,Answer.first_choice_process_SUS_question_value_5.5,Answer.first_satisfaction_SUS_proposition_value_1.1,Answer.first_satisfaction_SUS_proposition_value_2.2,Answer.first_satisfaction_SUS_proposition_value_3.3,Answer.first_satisfaction_SUS_proposition_value_4.4,Answer.first_satisfaction_SUS_proposition_value_5.5,Answer.first_system_review_SUS_question_value_1.1,Answer.first_system_review_SUS_question_value_2.2,Answer.first_system_review_SUS_question_value_3.3,Answer.first_system_review_SUS_question_value_4.4,Answer.first_system_review_SUS_question_value_5.5,Answer.fourth_system_review_SUS_question_value_1.1,Answer.fourth_system_review_SUS_question_value_2.2,Answer.fourth_system_review_SUS_question_value_3.3,Answer.fourth_system_review_SUS_question_value_4.4,Answer.fourth_system_review_SUS_question_value_5.5,Answer.second_choice_process_SUS_question_value_1.1,Answer.second_choice_process_SUS_question_value_2.2,Answer.second_choice_process_SUS_question_value_3.3,Answer.second_choice_process_SUS_question_value_4.4,Answer.second_choice_process_SUS_question_value_5.5,Answer.second_satisfaction_SUS_proposition_value_1.1,Answer.second_satisfaction_SUS_proposition_value_2.2,Answer.second_satisfaction_SUS_proposition_value_3.3,Answer.second_satisfaction_SUS_proposition_value_4.4,Answer.second_satisfaction_SUS_proposition_value_5.5,Answer.second_system_review_SUS_question_value_1.1,Answer.second_system_review_SUS_question_value_2.2,Answer.second_system_review_SUS_question_value_3.3,Answer.second_system_review_SUS_question_value_4.4,Answer.second_system_review_SUS_question_value_5.5,Answer.third_choice_process_SUS_question_value_1.1,Answer.third_choice_process_SUS_question_value_2.2,Answer.third_choice_process_SUS_question_value_3.3,Answer.third_choice_process_SUS_question_value_4.4,Answer.third_choice_process_SUS_question_value_5.5,Answer.third_satisfaction_SUS_proposition_value_1.1,Answer.third_satisfaction_SUS_proposition_value_2.2,Answer.third_satisfaction_SUS_proposition_value_3.3,Answer.third_satisfaction_SUS_proposition_value_4.4,Answer.third_satisfaction_SUS_proposition_value_5.5,Answer.third_system_review_SUS_question_value_1.1,Answer.third_system_review_SUS_question_value_2.2,Answer.third_system_review_SUS_question_value_3.3,Answer.third_system_review_SUS_question_value_4.4,Answer.third_system_review_SUS_question_value_5.5
Fri Jun 24 06:44:47 PDT 2022,977,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
Fri Jun 24 04:17:53 PDT 2022,387,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true
Fri Jun 24 12:02:32 PDT 2022,1506,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true
Fri Jun 24 11:38:51 PDT 2022,3156,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false
Fri Jun 24 04:04:23 PDT 2022,242,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true
Fri Jun 24 04:34:26 PDT 2022,262,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true
Fri Jun 24 09:17:14 PDT 2022,1265,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true
Fri Jun 24 05:44:28 PDT 2022,782,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false
Fri Jun 24 03:14:12 PDT 2022,308,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false
Fri Jun 24 14:30:32 PDT 2022,2350,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true
Fri Jun 24 03:25:09 PDT 2022,486,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false
Fri Jun 24 08:26:22 PDT 2022,829,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
Fri Jun 24 04:35:18 PDT 2022,499,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true
Fri Jun 24 10:06:30 PDT 2022,1983,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true
Fri Jun 24 07:28:32 PDT 2022,658,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false
Fri Jun 24 04:26:22 PDT 2022,472,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false
Fri Jun 24 09:53:40 PDT 2022,938,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true
Fri Jun 24 06:23:31 PDT 2022,877,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true
Fri Jun 24 12:53:37 PDT 2022,1476,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false
Fri Jun 24 04:32:13 PDT 2022,587,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true
Fri Jun 24 05:47:40 PDT 2022,1009,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false
Fri Jun 24 04:16:53 PDT 2022,285,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false
Fri Jun 24 03:51:27 PDT 2022,1313,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
Fri Jun 24 08:55:17 PDT 2022,895,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true
Fri Jun 24 10:07:09 PDT 2022,835,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true
Fri Jun 24 05:36:10 PDT 2022,1464,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false
Fri Jun 24 06:17:49 PDT 2022,646,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false
Fri Jun 24 06:42:03 PDT 2022,762,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true
Fri Jun 24 04:26:00 PDT 2022,766,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true
Fri Jun 24 11:10:11 PDT 2022,1925,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false
